id,rfp_id:id,partner_id:id,warrenty_period,date_planned,user_id:id,state,recommended,score,create_date,date_approve,notes
rfq_19,rfp_7,supplier_1,12,2025-03-31,"base.user_admin",draft,0,0,2025-01-12,,"Delivery within 10 days. 1-year warranty included."
rfq_20,rfp_7,supplier_2,12,2025-03-31,"base.user_admin",draft,0,0,2025-01-12,,"Free installation service. 6-month return policy."
rfq_21,rfp_7,supplier_3,12,2025-03-31,"base.user_admin",draft,0,0,2025-01-12,,"50% payment upfront. 2-year maintenance support."
rfq_22,rfp_9,supplier_3,12,2025-01-27,"base.user_admin",draft,1,85,2025-01-15,,"Payment in 2 installments. Return policy is 20 days."
rfq_23,rfp_9,supplier_5,12,2025-01-27,"base.user_admin",draft,1,90,2025-01-15,,"Full payment in advance. Any damage during delivery will be replaced."
rfq_24,rfp_9,supplier_6,18,2025-01-27,"base.user_admin",draft,0,95,2025-01-15,,"Payment in 3 installments. Return policy is 15 days."
rfq_25,rfp_10,supplier_2,12,2025-02-28,"base.user_admin",draft,1,85,2025-01-17,,"Payment in 2 installments. Return policy is 20 days."
rfq_26,rfp_10,supplier_3,12,2025-02-28,"base.user_admin",draft,1,90,2025-01-17,,"Full payment in advance. Any damage during delivery will be replaced."
rfq_27,rfp_10,supplier_4,12,2025-02-28,"base.user_admin",draft,0,95,2025-01-17,,"Payment in 3 installments. Return policy is 15 days."
rfq_28,rfp_11,supplier_1,12,2025-03-15,"base.user_admin",draft,1,85,2025-01-25,,"Payment in 2 installments. Return policy is 20 days."
rfq_29,rfp_11,supplier_2,12,2025-03-15,"base.user_admin",draft,1,90,2025-01-25,,"Full payment in advance. Any damage during delivery will be replaced."
rfq_30,rfp_11,supplier_3,18,2025-03-15,"base.user_admin",draft,0,95,2025-01-25,,"Payment in 3 installments. Return policy is 15 days."
rfq_31,rfp_11,supplier_4,6,2025-03-15,"base.user_admin",draft,0,80,2025-01-25,,"Delivery within 10 days. 1-year warranty included."
rfq_32,rfp_11,supplier_5,12,2025-03-15,"base.user_admin",draft,0,75,2025-01-25,,"Free installation service. 6-month return policy."
rfq_33,rfp_13,supplier_2,12,2025-02-10,"base.user_admin",draft,1,85,2025-02-01,,"Payment in 2 installments. Return policy is 20 days."
rfq_34,rfp_13,supplier_3,18,2025-02-12,"base.user_admin",draft,1,90,2025-02-01,,"Full payment in advance. Any damage during delivery will be replaced."
rfq_35,rfp_13,supplier_4,24,2025-02-14,"base.user_admin",draft,0,65,2025-02-01,,"Payment in 3 installments. Return policy is 15 days."
rfq_36,rfp_13,supplier_5,36,2025-02-13,"base.user_admin",draft,1,80,2025-02-01,,"Delivery within 10 days. 1-year warranty included."
rfq_37,rfp_13,supplier_3,48,2025-02-15,"base.user_admin",draft,0,75,2025-02-01,,"Free installation service. 6-month return policy."
rfq_38,rfp_16,supplier_5,24,2025-02-20,"base.user_admin",purchase,1,95,2025-02-10,2025-02-24,"Full payment in advance. Return policy is 1 month."
rfq_39,rfp_16,supplier_3,18,2025-02-20,"base.user_admin",cancel,0,85,2025-02-22,,"Payment in 3 installments. Return policy is 15 days."
